town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Burlington,burlington,142207,7501,2555,679400,26223,20068,648,3540,1116,689,809,667,173,885,621,300,243,200,340,675,366,262,516,234,515,862,822,324,527,15,429,1182,462,220,1759,252,171,101,0,134,530,4387,5643,16193,1967,0.7459228321400159,0.2540771678599841,5255,Information
Cambridge,cambridge,126469,16718,32874,1040500,117794,67767,12418,23178,10543,2726,2201,1899,1156,1759,1462,1217,3387,1108,1047,1780,946,691,588,1128,1576,2200,1506,919,904,85,942,2792,1164,1533,10054,571,2324,948,73,298,1399,15807,14393,87594,14431,0.3371108243265043,0.6628891756734957,22183,Information
Canton,canton,128341,7308,2369,665500,24459,17685,2632,2511,1198,959,672,790,458,652,794,440,122,113,249,630,511,244,162,352,443,442,660,274,720,0,589,588,299,176,1601,126,696,216,7,57,408,4887,4800,14772,1631,0.7551927250180841,0.24480727498191587,4763,Information
Carlisle,carlisle,250001,1624,102,1055600,5209,4371,27,505,103,95,297,311,123,211,124,60,82,74,93,202,59,79,81,50,93,251,23,55,52,16,38,120,65,77,546,40,118,58,17,10,30,1303,1112,2794,306,0.9409038238702202,0.05909617612977984,1135,Information
Carver,carver,78955,4196,536,409800,11645,10221,317,85,308,149,493,161,133,214,477,122,80,131,164,387,423,83,78,86,334,516,176,74,107,104,687,361,192,70,246,71,211,61,18,51,610,1829,2559,7257,1022,0.8867286559594252,0.1132713440405748,2682,Construction
Charlemont,charlemont,59327,419,115,312800,1054,1013,0,15,25,7,24,11,11,0,18,14,0,44,21,50,38,7,6,19,41,58,32,12,43,8,56,28,10,3,23,15,0,10,4,0,28,85,371,598,26,0.7846441947565543,0.2153558052434457,185,Construction
Charlton,charlton,119809,4136,841,405200,13359,12372,57,64,556,413,464,588,194,334,635,292,97,139,237,334,143,97,171,150,151,311,234,69,271,0,1033,358,196,57,488,165,231,153,0,32,239,3017,2307,8035,866,0.8310227044404259,0.16897729555957405,2952,Construction
Chatham,chatham,86674,2895,366,857900,6643,6010,139,157,68,140,29,145,88,13,108,60,53,153,327,358,242,191,210,177,281,338,309,263,327,10,112,143,52,12,209,67,147,52,0,8,106,636,3176,2831,337,0.8877644894204232,0.11223551057957681,918,Information
Chelmsford,chelmsford,140519,11224,2272,565000,36220,29395,695,3287,1980,978,1098,955,893,1226,1107,510,351,560,558,774,540,465,214,461,591,1007,653,467,362,144,1030,1840,391,596,2388,575,533,171,5,67,810,7118,6652,22450,2843,0.8316538233550682,0.16834617664493184,8550,Information
Chelsea,chelsea,72220,3949,9589,476500,39460,10624,2760,1142,25637,1475,1079,1162,697,993,1732,944,338,209,470,554,297,177,397,247,396,568,375,368,358,9,2228,684,1262,139,1436,770,466,521,37,121,615,8420,4416,26624,24934,0.2916974442310533,0.7083025557689466,8288,Construction
Cheshire,cheshire,72028,1323,190,237000,3234,3015,9,63,6,104,81,42,48,127,20,89,29,79,72,110,91,20,50,57,78,185,53,29,29,9,146,92,94,5,51,38,74,29,0,0,81,540,853,1841,147,0.8744216787838731,0.1255783212161269,619,Construction
Chester,chester,87308,394,80,275600,1322,1273,6,0,27,30,53,37,28,37,91,25,0,30,12,26,23,12,3,13,21,36,9,17,9,4,24,103,92,3,24,18,6,38,0,0,13,301,211,810,43,0.8312236286919831,0.16877637130801687,325,Manufacturing
Chesterfield,chesterfield,102031,349,49,382400,964,922,12,0,15,29,38,22,3,37,3,37,24,8,38,31,12,4,10,20,46,48,8,7,4,4,68,22,28,10,22,17,10,13,3,15,17,193,236,535,30,0.8768844221105527,0.12311557788944724,229,Construction
Chicopee,chicopee,66927,13844,10348,251800,55213,40292,2857,1105,14273,1317,1073,1895,1268,1344,1764,929,666,964,1079,921,832,591,292,809,1015,1429,1022,626,1004,47,1141,2669,1406,175,1413,624,1134,636,125,136,1342,10256,10584,34373,10959,0.572255291005291,0.427744708994709,10848,Manufacturing
Chilmark,chilmark,166250,492,64,1788900,1726,1591,26,45,0,22,21,82,17,47,47,30,0,30,49,65,62,71,11,38,65,86,24,26,17,4,91,11,0,0,168,54,9,25,4,20,10,266,544,916,64,0.8848920863309353,0.11510791366906475,396,Information
Clarksburg,clarksburg,78421,616,110,212500,1723,1629,9,0,29,13,62,78,25,22,23,35,14,41,51,51,39,14,25,44,33,83,32,10,25,4,90,26,26,0,59,40,21,22,4,13,34,272,448,1003,85,0.8484848484848485,0.15151515151515152,339,Construction
Clinton,clinton,93849,3526,3137,348000,15430,12318,429,283,2855,445,319,355,271,327,275,399,189,243,494,304,100,54,54,148,95,267,193,95,105,24,743,954,302,59,520,226,136,198,22,77,580,2580,2152,10698,2400,0.5291910550802942,0.4708089449197058,3841,Manufacturing
Cohasset,cohasset,187060,2588,521,1092500,8358,7697,44,68,398,386,340,339,152,334,185,189,29,108,76,167,84,67,146,93,254,170,80,142,106,0,222,124,158,32,493,48,223,17,0,83,104,1954,1493,4911,549,0.8324220006432936,0.16757799935670634,1504,Information
Colrain,colrain,86429,606,122,267200,1663,1567,23,8,52,44,18,73,7,20,44,10,19,45,31,48,53,56,32,34,48,55,46,40,10,20,135,62,38,4,33,21,12,41,18,0,69,235,498,930,65,0.8324175824175825,0.16758241758241757,453,Construction
Concord,concord,212315,4849,1295,1134500,18226,14926,438,888,918,510,759,770,488,607,807,682,170,256,326,450,206,234,265,173,294,561,323,237,415,108,98,486,53,112,1137,136,223,75,0,74,286,4793,3740,9693,1974,0.7892252604166666,0.21077473958333334,2788,Information
Conway,conway,92471,704,67,376700,1757,1679,0,8,68,32,29,62,46,7,63,39,3,33,53,96,34,39,11,61,54,96,59,8,0,25,56,112,18,15,23,8,25,19,5,0,50,281,544,932,70,0.9130998702983139,0.08690012970168612,356,Manufacturing
County subdivisions not defined,county subdivisions not defined,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,Agriculture and natural resources
Cummington,cummington,101250,336,64,283100,916,844,4,0,26,8,14,41,5,10,16,16,0,16,18,40,16,3,36,12,6,48,54,3,6,18,49,9,7,2,46,11,14,10,0,0,31,110,258,548,68,0.84,0.16,197,Construction
Dalton,dalton,81168,2139,692,289300,6304,6009,36,46,196,181,236,123,104,294,171,44,34,67,150,128,97,56,78,161,125,244,175,61,229,0,116,221,44,41,166,51,241,27,0,30,65,1187,1571,3546,213,0.7555634051571882,0.24443659484281172,1002,Professional services
Danvers,danvers,117072,7610,3431,611200,27924,25200,746,527,1413,509,420,502,580,718,716,540,313,494,331,672,513,328,351,281,714,712,605,587,599,58,735,1173,567,138,993,316,551,213,0,50,718,4298,6187,17439,1451,0.6892491622135676,0.31075083778643237,5512,Manufacturing
Dartmouth,dartmouth,98662,9126,2743,470500,32621,28115,868,771,1440,413,825,643,504,733,813,428,1131,400,637,793,534,280,228,427,489,845,674,309,643,52,1056,1038,382,74,1033,281,581,212,23,62,719,5490,6259,20872,2867,0.768893756845564,0.23110624315443593,5513,Construction
Dedham,dedham,124375,7484,2813,630400,25109,20698,1293,786,1884,549,574,694,337,673,635,503,99,288,383,548,416,122,316,360,513,575,432,389,752,10,767,567,349,141,994,178,596,260,0,105,739,4064,5094,15951,2332,0.7268136350393318,0.27318636496066817,4706,Information
Deerfield,deerfield,103110,1867,483,385000,5136,4640,117,5,356,73,150,35,139,14,185,162,64,93,31,155,92,66,0,65,114,171,103,144,99,104,277,167,104,79,87,17,73,34,49,97,141,822,1133,3181,374,0.794468085106383,0.20553191489361702,1229,Construction
Dennis,dennis,88183,5573,1543,564500,14803,13300,299,43,754,132,188,336,134,123,242,54,147,240,615,607,455,264,249,334,510,791,730,401,340,68,463,279,67,74,572,308,245,172,0,75,393,1356,5536,7911,1161,0.7831646992692524,0.2168353007307476,2716,Information
Dighton,dighton,137616,2620,284,486900,8122,7584,85,0,283,144,295,152,287,358,134,232,92,120,95,238,96,49,37,161,147,175,115,27,79,0,314,267,185,20,438,181,117,46,0,38,383,1694,1339,5089,453,0.9022038567493113,0.09779614325068871,1989,Information
Douglas,douglas,147185,2731,551,439800,9096,8472,48,102,508,175,207,301,167,226,346,459,22,251,111,123,16,86,10,75,144,163,98,103,103,19,267,308,273,17,432,140,117,89,0,43,224,1903,1283,5910,474,0.832114564290067,0.16788543570993297,1929,Information
Dover,dover,250001,1854,58,1285800,5893,4706,117,678,156,163,168,294,282,151,151,167,59,68,111,155,43,18,53,173,24,138,89,26,68,0,45,117,57,44,389,63,163,45,0,6,93,1435,966,3492,392,0.9696652719665272,0.030334728033472803,1022,Information
Dracut,dracut,111539,9679,2466,465900,32356,26433,1045,1902,2875,837,1164,1083,799,778,1101,557,473,406,340,707,192,194,470,352,510,990,450,468,708,99,1074,1397,882,477,1072,294,563,189,51,89,960,6792,5787,19777,2976,0.7969534787978592,0.2030465212021408,7147,Manufacturing
Dudley,dudley,85179,3012,1243,372400,11886,10342,560,347,436,307,532,377,295,363,364,151,578,115,157,196,173,91,115,121,192,239,162,148,220,17,333,587,180,17,287,160,168,230,16,10,313,2967,1929,6990,637,0.7078730904817861,0.29212690951821385,2318,Manufacturing
Dunstable,dunstable,202379,1089,46,624300,3375,3071,41,79,170,102,74,106,120,69,119,84,61,33,96,91,22,17,9,27,79,64,37,3,8,9,186,176,83,0,265,20,37,51,0,4,77,735,486,2154,184,0.9594713656387666,0.04052863436123348,908,Information
Duxbury,duxbury,171471,5383,597,826300,16110,15092,113,140,303,370,446,601,462,532,597,277,155,64,304,627,360,210,185,205,367,656,351,195,222,69,616,347,159,59,812,151,320,135,0,60,450,3440,3746,8924,765,0.9001672240802676,0.09983277591973244,3178,Information
East Bridgewater,east bridgewater,128679,4198,848,474000,14420,13221,220,60,500,400,379,417,354,507,291,401,209,58,229,328,218,134,34,131,261,286,263,178,102,34,877,562,173,81,743,473,179,166,42,252,658,2958,2222,9240,919,0.8319460959175584,0.16805390408244153,4240,Construction
East Brookfield,east brookfield,76382,742,163,342400,2120,1955,5,20,132,77,41,60,11,49,41,19,8,27,119,53,67,31,14,61,26,74,97,56,38,1,69,125,43,19,46,6,28,17,1,12,66,306,663,1151,140,0.8198895027624309,0.18011049723756906,433,Manufacturing
East Longmeadow,east longmeadow,101540,5102,798,342000,16368,14040,425,300,954,390,415,610,460,484,542,571,149,121,275,373,167,177,341,113,413,384,294,244,592,39,270,607,225,30,569,200,475,154,0,0,183,3621,3494,9253,1603,0.8647457627118644,0.1352542372881356,2752,Manufacturing
Eastham,eastham,72683,2543,317,668400,5772,5110,252,89,31,80,109,64,71,73,235,115,0,64,147,246,223,126,156,202,105,509,134,129,299,31,320,40,0,23,180,63,57,23,0,22,144,747,2340,2685,321,0.8891608391608392,0.11083916083916084,903,Construction
Easthampton Town,easthampton,72925,4745,3179,343800,16103,13905,98,224,1367,266,352,540,158,333,476,398,148,259,272,544,401,167,192,168,402,575,461,185,193,15,168,524,325,147,351,122,276,101,87,0,521,2671,3819,9613,1876,0.5988137304391722,0.40118626956082787,2637,Manufacturing
Easton,easton,121458,7305,2019,560200,25162,19972,1635,931,1478,589,643,1141,385,547,804,358,672,437,286,673,468,305,156,442,376,619,491,476,240,48,587,698,312,85,1136,119,462,314,21,142,501,5139,4969,15054,2624,0.7834620334620335,0.21653796653796653,4425,Information
Edgartown,edgartown,89710,1316,350,1171700,5212,4396,326,0,37,40,54,59,48,168,161,38,125,0,47,189,161,12,170,0,115,169,122,177,78,80,272,17,256,0,342,199,59,29,40,96,280,693,1240,3279,490,0.7899159663865546,0.21008403361344538,1670,Information
Egremont,egremont,97500,410,120,549300,1232,1165,0,0,29,16,5,14,5,13,13,0,0,75,26,24,17,22,16,42,44,56,18,27,4,0,75,37,0,0,64,48,33,0,0,3,29,66,371,795,67,0.7735849056603774,0.22641509433962265,289,Construction
Erving,erving,74550,525,160,241500,1639,1553,27,0,25,57,61,23,15,45,48,21,36,20,40,49,19,33,11,8,40,64,19,12,13,9,95,111,13,0,26,14,26,4,19,4,24,306,328,1005,59,0.7664233576642335,0.23357664233576642,345,Manufacturing
Essex,essex,152371,1030,307,826700,3680,3617,0,0,33,108,110,185,65,32,117,178,30,29,38,95,59,20,11,32,58,60,42,9,43,16,158,99,45,41,144,29,26,55,19,28,60,825,496,2359,63,0.7703814510097232,0.22961854899027673,720,Construction
Everett,everett,79658,6304,10958,605200,49236,20971,6303,3859,15408,1933,1821,1674,1104,1069,1363,822,485,409,376,853,271,391,202,452,466,715,371,443,413,10,2831,949,1132,154,1965,1128,909,755,73,173,1041,10271,5362,33603,18103,0.36519522650909514,0.6348047734909049,11120,Construction
