town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Mount Washington,mount washington,127813,77,8,593800,191,186,0,0,0,5,6,4,0,0,0,0,0,5,0,12,0,3,3,7,3,7,5,7,0,0,12,3,0,6,13,0,2,0,0,4,13,15,52,124,5,0.9058823529411765,0.09411764705882353,53,Information
Nahant,nahant,111004,1350,254,686000,3328,3063,60,27,41,131,73,35,23,15,25,47,0,61,32,172,44,66,33,136,80,246,78,31,99,22,110,69,65,18,167,28,54,40,0,55,75,349,1078,1901,178,0.8416458852867831,0.15835411471321695,703,Information
Nantucket,nantucket,119750,3861,1187,1387000,14299,10125,1333,255,2347,313,527,477,335,334,326,257,164,143,209,340,155,190,54,155,193,344,221,79,134,27,1346,232,96,16,499,170,364,113,41,63,389,2733,2217,9349,2586,0.7648573692551506,0.23514263074484945,3356,Construction
Natick,natick,134591,10404,5005,740700,36627,28363,543,4888,1247,1124,1157,1051,801,1301,1073,561,304,500,571,797,363,346,442,418,668,913,551,719,667,20,836,864,244,288,3131,674,679,215,0,68,982,7372,6955,22300,2833,0.6751898241287559,0.32481017587124406,8001,Information
Needham,needham,212241,9612,1789,1146000,32059,26185,471,3381,1188,678,1361,1343,827,1504,1605,885,284,372,485,598,422,315,436,337,525,673,458,245,758,36,223,682,178,298,2384,176,814,263,111,76,389,8487,5624,17948,2022,0.8430839400052627,0.15691605999473732,5630,Information
New Ashford,new ashford,81500,83,19,360400,244,227,6,1,3,0,3,3,4,0,3,4,0,0,6,16,4,1,1,0,11,10,9,8,5,10,2,10,4,0,16,7,1,0,0,0,15,17,71,156,10,0.8137254901960784,0.18627450980392157,65,Information
New Bedford,new bedford,56025,16880,25353,324400,100731,57925,6025,1551,24717,3709,3716,3405,2165,2709,3005,2258,932,1182,1276,1907,1041,710,913,1215,1180,2731,1332,1122,1344,579,3766,3587,1732,416,2054,1277,1859,869,103,361,2536,21899,15953,62879,35230,0.3996874482040111,0.600312551795989,19139,Construction
New Braintree,new braintree,99375,326,54,387200,925,865,25,3,3,12,5,22,18,29,46,28,10,37,34,39,14,12,4,15,29,23,11,4,8,5,31,34,46,0,22,9,5,3,6,0,25,170,230,525,32,0.8578947368421053,0.14210526315789473,186,Wholesale trade
New Marlborough,new marlborough,94038,613,57,486800,1675,1578,39,0,145,41,10,45,31,77,32,69,16,29,22,60,55,38,14,22,43,52,40,26,17,16,66,33,17,13,109,36,22,19,0,26,76,321,418,936,58,0.9149253731343283,0.08507462686567165,433,Information
New Salem,new salem,78611,395,55,346800,1058,847,9,6,27,16,16,10,64,3,19,0,3,18,16,28,22,22,6,14,37,44,10,17,20,34,104,74,13,3,8,3,12,5,0,0,20,131,254,673,196,0.8777777777777778,0.12222222222222222,276,Construction
Newbury,newbury,176196,2240,348,776100,6729,6255,0,120,127,64,160,104,163,347,80,126,26,99,255,153,161,42,0,109,415,165,165,83,78,48,384,298,41,27,655,144,149,60,57,23,170,1070,1725,3934,354,0.865533230293663,0.13446676970633695,2056,Information
Newburyport,newburyport,144259,5939,1853,792400,18444,17097,77,129,740,300,614,693,224,643,954,256,196,247,256,492,430,200,110,270,485,675,382,189,494,0,488,558,283,119,1054,155,293,167,7,172,370,3880,4230,10334,1141,0.7621919917864476,0.23780800821355236,3666,Information
Newton,newton,184989,22530,9200,1202500,88504,62901,1986,14690,4287,1894,2670,2765,2219,2244,3056,1836,2215,1133,1381,2141,1435,663,854,978,1592,2605,1705,1077,1375,171,1105,1874,667,697,6342,414,3065,690,13,147,1387,18899,16939,52666,8927,0.7100535770564135,0.2899464229435865,16572,Information
Norfolk,norfolk,197379,3197,164,694300,11556,9601,758,257,507,311,616,415,168,215,477,285,50,186,133,220,116,88,21,124,189,190,171,31,68,0,256,213,63,182,529,73,171,42,0,90,225,2537,1537,7482,940,0.9512049985123475,0.048795001487652485,1844,Information
North Adams,north adams,48521,3066,2697,185300,12660,11266,160,395,776,208,422,398,233,174,291,149,162,120,305,555,174,186,87,203,124,432,370,121,191,0,395,279,208,45,196,49,174,74,0,0,336,2037,2868,7755,839,0.5320145757418011,0.46798542425819883,1756,Construction
North Andover,north andover,134319,8048,3473,670000,31024,25356,956,2009,2531,969,969,1078,676,708,1087,587,506,464,536,513,249,97,361,348,470,652,295,420,534,75,719,1503,418,226,1711,276,476,171,16,104,874,6580,4939,19505,2703,0.6985504730492145,0.30144952695078553,6569,Information
North Attleborough Town,north attleboro,109426,9152,3703,462700,30842,26709,592,1615,1122,666,725,964,640,838,1143,726,377,366,614,818,314,143,359,454,490,680,415,221,239,21,745,1277,573,174,1140,243,426,507,13,122,1019,6079,5113,19650,1926,0.7119408790353948,0.28805912096460523,6260,Manufacturing
North Brookfield,north brookfield,81010,1355,542,316500,4739,4512,46,6,42,121,39,127,164,56,218,33,52,48,62,156,36,48,56,95,43,132,23,197,39,53,143,426,84,32,92,21,20,59,6,0,105,810,935,2994,175,0.7142857142857143,0.2857142857142857,1041,Manufacturing
North Reading,north reading,150820,4910,946,680000,15634,13774,72,848,326,335,508,589,379,391,480,412,91,133,226,191,221,63,34,158,302,325,233,200,152,8,913,373,104,176,753,83,121,61,0,100,531,3185,2238,10211,940,0.8384562841530054,0.16154371584699453,3223,Construction
Northampton,northampton,78467,7231,5293,398000,28640,23755,607,1093,2732,499,524,665,587,638,722,383,1334,201,562,624,509,232,137,445,691,1054,597,407,425,23,419,666,378,230,1221,190,548,190,29,19,371,5352,5884,17404,3185,0.5773714468221016,0.42262855317789844,4284,Information
Northborough,northborough,174358,4881,834,598500,15694,12100,563,1724,360,225,404,632,375,349,497,522,23,166,230,449,152,90,95,263,275,346,258,144,164,14,143,689,128,59,1113,43,390,185,27,56,409,3027,2632,10035,1307,0.8540682414698163,0.14593175853018373,3256,Information
Northbridge,northbridge,103355,4512,2218,429600,16358,14454,270,191,1484,304,435,752,310,560,548,342,216,242,216,417,123,95,128,197,248,428,226,178,190,34,339,720,403,107,663,222,288,112,0,30,669,3467,2688,10203,1443,0.6704309063893016,0.32956909361069836,3587,Manufacturing
Northfield,northfield,102470,1122,149,337200,2875,2725,15,1,113,14,44,81,116,53,80,63,39,32,54,73,65,8,59,56,58,130,43,15,61,47,28,102,40,0,159,9,60,33,11,33,78,490,654,1731,134,0.8827694728560189,0.11723052714398112,600,Information
Norton,norton,127404,5541,1017,476900,19155,17128,762,346,838,380,493,402,292,440,496,561,461,177,354,340,247,149,125,331,259,428,244,182,213,6,581,711,307,77,677,253,366,194,11,33,597,3525,3049,12581,919,0.8449222323879232,0.15507776761207684,3813,Manufacturing
Norwell,norwell,182637,3333,310,799600,11309,10267,65,346,374,436,485,347,573,310,410,188,199,52,133,249,161,51,82,197,142,234,232,99,114,50,408,283,126,99,555,125,185,107,0,20,348,2948,1746,6615,631,0.9149052978314576,0.08509470216854241,2306,Information
Norwood,norwood,97110,6884,6415,613500,31380,22917,2185,2132,2867,1130,739,912,488,784,755,476,347,206,379,666,431,332,411,442,478,803,603,415,703,0,1148,727,503,131,1495,485,438,235,0,34,744,5631,5869,19880,4146,0.5176329047296789,0.48236709527032107,5940,Information
Oak Bluffs,oak bluffs,117927,1466,598,893000,5370,4421,253,0,67,111,122,338,104,20,190,192,0,158,58,339,16,50,68,55,71,269,206,42,27,0,529,69,0,0,310,143,0,48,0,34,88,1077,1359,2934,696,0.7102713178294574,0.28972868217054265,1221,Construction
Oakham,oakham,96207,573,67,379600,1623,1484,32,0,20,29,50,60,10,57,26,33,8,32,33,60,24,5,5,22,52,55,24,7,11,10,83,37,42,7,31,12,14,12,13,7,37,273,330,1020,107,0.8953125,0.1046875,305,Construction
Orange,orange,54105,2043,1010,223900,7583,6913,51,47,539,133,244,150,190,190,404,146,77,103,197,223,166,36,7,148,240,197,67,56,130,9,187,372,39,22,93,66,141,53,11,13,145,1534,1570,4479,572,0.6691778578447429,0.3308221421552571,1151,Manufacturing
Orleans,orleans,98798,2344,658,816700,6342,6141,0,47,81,113,34,152,143,96,88,101,63,193,358,263,292,130,92,106,290,552,274,201,225,34,292,27,58,43,336,126,86,34,0,46,83,790,2976,2576,154,0.7808127914723517,0.21918720852764823,1165,Information
Otis,otis,104089,652,99,374500,1678,1626,0,4,23,25,45,60,49,0,29,0,9,14,70,36,50,51,12,15,53,67,63,15,13,3,88,48,29,12,54,13,13,32,0,3,72,217,459,1002,48,0.8681757656458056,0.1318242343541944,367,Construction
Oxford,oxford,104000,3963,919,345000,13349,12078,137,103,721,257,365,458,295,533,383,259,252,153,203,316,145,106,67,92,95,286,168,199,194,0,559,549,247,84,270,46,241,180,49,21,365,2802,2024,8523,1031,0.8117574764440803,0.1882425235559197,2611,Construction
Palmer Town,palmer,78789,3882,1664,255000,12372,10757,394,30,579,174,75,246,194,301,228,176,136,177,320,256,265,0,143,191,211,307,376,149,179,35,219,575,360,137,369,306,319,40,0,56,520,1530,2574,8268,1191,0.6999639379733141,0.3000360620266859,2936,Manufacturing
Paxton,paxton,133750,1474,159,464700,4996,4561,97,53,269,155,42,266,48,92,108,66,197,49,97,146,72,17,52,55,65,181,50,59,39,0,206,248,41,27,193,45,76,57,0,17,118,974,882,3140,285,0.90263319044703,0.09736680955296999,1028,Manufacturing
Peabody,peabody,95278,14746,7723,566200,54180,43313,1937,1085,6719,1479,1387,946,940,1206,1346,582,565,923,1044,1236,821,561,862,757,894,1637,1486,808,2136,7,1354,1735,1100,154,1380,583,978,511,9,201,1169,8451,13165,32564,7845,0.6562819885175131,0.343718011482487,9181,Manufacturing
Pelham,pelham,121667,437,137,412800,1332,1055,152,15,86,28,45,30,34,27,41,33,5,14,25,43,40,10,12,13,27,74,28,21,41,0,54,23,4,5,65,6,7,2,3,0,11,243,348,741,110,0.7613240418118467,0.23867595818815332,180,Information
Pembroke,pembroke,141332,6210,795,550300,18335,17180,83,253,369,485,394,479,449,294,698,312,211,546,286,381,297,51,51,277,386,448,373,230,116,0,1094,266,264,71,740,275,183,75,30,163,578,3322,3442,11571,819,0.8865096359743041,0.11349036402569593,3739,Construction
Pepperell,pepperell,126976,3593,720,459800,11656,10085,313,659,403,268,267,220,247,338,324,181,218,141,243,303,75,91,55,242,238,388,62,52,79,18,510,613,233,19,648,59,102,125,9,10,241,2063,1969,7624,599,0.8330628332946904,0.16693716670530953,2587,Information
Peru,peru,83125,273,4,255400,631,599,0,12,3,11,10,15,2,18,28,4,7,3,13,33,16,5,1,25,30,34,0,0,0,0,43,36,12,6,21,13,15,7,0,4,14,95,160,376,20,0.9855595667870036,0.01444043321299639,171,Construction
Petersham,petersham,107656,420,43,375000,1173,1038,8,7,46,17,43,21,4,44,16,10,6,19,68,33,21,5,22,30,34,40,46,6,3,10,51,83,19,0,27,18,18,21,7,3,10,161,327,685,120,0.9071274298056156,0.09287257019438445,267,Manufacturing
Phillipston,phillipston,92027,647,62,339300,1915,1871,4,0,15,59,24,45,20,33,117,27,21,39,37,68,19,13,0,32,30,51,34,12,9,13,100,69,63,6,28,3,21,6,7,11,43,346,344,1225,40,0.9125528913963329,0.08744710860366714,370,Construction
Pittsfield,pittsfield,68386,12068,7498,233700,43559,34828,2300,612,3915,1309,1067,1100,707,884,1093,629,438,718,810,1018,641,590,319,720,830,1058,827,529,702,149,821,1368,419,164,1320,386,972,493,60,172,1436,7227,8762,27570,5819,0.6167842175201881,0.3832157824798119,7760,Public administration
Plainfield,plainfield,78750,244,17,278900,623,548,1,1,12,5,20,11,12,14,46,5,4,14,14,31,23,11,9,8,21,25,23,2,7,2,18,26,9,5,18,16,11,31,3,7,10,117,188,318,73,0.9348659003831418,0.06513409961685823,156,Education and health
Plainville,plainville,95625,2709,1491,461200,9872,7999,635,266,970,290,254,277,239,159,264,113,52,74,228,374,99,99,94,162,239,288,211,169,71,28,612,344,126,51,367,33,132,67,22,99,177,1648,2108,6116,972,0.645,0.355,2058,Construction
Plymouth,plymouth,111975,20596,5226,494700,62656,55807,763,670,2247,1501,1617,1380,852,1537,1352,1157,641,816,1350,1837,1506,672,569,977,1738,2287,1506,865,964,44,2060,1416,818,295,2984,1029,687,666,143,279,1729,10037,15087,37532,5416,0.7976144373015258,0.20238556269847416,12150,Information
Plympton,plympton,119750,990,58,499300,2934,2845,38,0,12,77,128,126,17,72,150,20,34,26,29,139,64,14,6,53,116,67,52,24,62,13,202,37,131,0,51,6,35,40,8,31,66,624,652,1658,51,0.9446564885496184,0.05534351145038168,620,Construction
Princeton,princeton,150577,1262,62,496400,3500,3296,12,0,77,54,164,54,34,130,117,48,14,41,114,139,56,35,12,69,82,77,35,32,17,10,62,118,66,20,270,50,69,23,20,35,86,615,709,2176,192,0.9531722054380665,0.04682779456193353,829,Information
Provincetown,provincetown,104500,1448,586,769500,3681,2783,244,77,452,123,56,33,19,14,8,12,0,67,20,100,115,40,42,124,78,173,54,81,57,25,104,110,80,39,231,20,102,33,0,0,165,265,951,2465,577,0.711897738446411,0.288102261553589,909,Information
Quincy,quincy,95711,20489,25082,598100,101361,56330,6537,29630,5841,2834,2238,2344,1219,1545,1938,1014,649,1295,1985,2104,1209,826,767,1418,1828,1981,1661,1132,1745,65,1910,1878,2258,989,5361,1072,2521,1070,26,364,2365,13781,17951,69629,8864,0.4496061091483619,0.5503938908516381,19879,Information
Randolph Town,randolph,103129,8779,3853,463500,34683,10219,14528,4510,4565,589,873,1093,767,731,1079,432,285,413,430,797,282,271,295,445,655,849,615,372,655,17,709,1037,1156,237,1349,297,1274,164,0,15,547,5849,6079,22755,5426,0.6949810006333123,0.3050189993666878,6802,Information
Raynham,raynham,117950,4511,1388,508600,15273,12849,807,338,361,331,634,403,116,456,531,354,256,181,293,388,227,163,144,148,204,447,202,287,353,0,568,512,348,74,485,186,245,11,0,47,488,3081,3037,9155,1279,0.7647058823529411,0.23529411764705882,2964,Construction
Reading,reading,163725,7956,1618,741100,25448,22161,75,1585,1171,769,997,780,478,654,940,608,282,493,352,446,449,210,209,407,680,731,610,239,383,26,490,1187,233,275,1385,135,317,118,10,134,492,5508,5209,14731,1627,0.8310006266973052,0.1689993733026948,4802,Information
Rehoboth,rehoboth,126161,4213,430,487000,12809,12203,52,182,445,236,247,464,379,403,182,160,114,185,322,234,222,141,69,136,296,406,288,104,63,87,719,684,159,50,400,179,293,337,24,47,203,2185,2466,8158,372,0.9073874650010769,0.09261253499892311,3182,Construction
Revere,revere,81121,10777,10735,566200,59933,33794,2913,2520,23162,1847,1626,901,1199,1741,2107,819,733,658,857,851,571,479,524,575,963,1333,807,709,900,53,2940,1133,1830,175,2805,1335,1114,675,0,223,1441,10973,9227,39733,20706,0.5009761993306062,0.49902380066939384,13724,Construction
Richmond,richmond,96923,532,66,537700,1392,1283,52,10,20,11,46,25,6,72,26,15,0,23,37,78,19,46,12,56,45,76,54,24,16,19,15,25,58,21,44,12,39,13,0,6,19,201,486,705,47,0.8896321070234113,0.11036789297658862,271,Wholesale trade
Rochester,rochester,119239,1867,258,541600,5770,5232,18,1,42,180,71,287,83,62,184,179,93,170,105,227,43,30,31,12,112,325,56,14,65,113,278,148,121,44,122,18,84,118,7,40,74,1139,1190,3441,519,0.8785882352941177,0.12141176470588236,1167,Construction
Rockland,rockland,101475,5201,1461,452300,17709,14951,732,131,935,847,485,357,276,602,556,253,154,110,156,452,235,82,21,110,341,511,253,215,203,0,518,402,514,30,875,401,531,206,0,49,578,3530,2689,11490,1895,0.7806964875412788,0.2193035124587211,4104,Information
Rockport,rockport,93227,2257,1006,692500,6977,6587,40,16,165,215,63,91,80,85,105,163,30,198,223,480,197,128,160,222,188,566,163,118,132,20,255,116,46,72,248,110,65,95,50,40,89,832,2775,3370,334,0.6916947594238431,0.30830524057615694,1206,Construction
Rowe,rowe,87917,166,14,262100,469,393,0,2,15,9,30,22,5,14,11,11,4,13,7,17,12,9,3,8,20,12,6,7,8,10,21,12,9,2,7,3,6,0,1,1,4,106,122,241,74,0.9222222222222223,0.07777777777777778,76,Construction
Rowley,rowley,117177,1987,441,633900,6214,5892,0,93,18,103,152,284,44,143,166,204,36,69,124,118,75,46,68,162,162,134,65,170,113,19,284,254,75,16,236,0,120,130,0,75,191,1132,1306,3776,229,0.8183690280065898,0.18163097199341022,1400,Construction
Royalston,royalston,101705,497,51,324000,1500,1397,5,5,35,83,112,30,35,16,15,27,5,47,24,47,25,12,0,33,24,43,14,0,6,14,65,92,43,3,51,22,8,5,0,0,14,323,275,902,93,0.906934306569343,0.09306569343065693,317,Manufacturing
Russell,russell,105833,483,67,285100,1264,1141,29,1,53,19,23,34,20,0,23,11,30,9,24,28,4,11,2,8,26,43,11,19,3,2,103,94,38,4,7,4,16,2,0,8,41,160,188,916,93,0.8781818181818182,0.12181818181818181,319,Construction
Rutland,rutland,155504,2736,355,439200,9202,8539,74,228,387,171,266,594,410,346,231,181,233,142,102,152,106,29,42,97,133,160,65,90,72,147,260,157,112,125,231,34,167,93,14,0,442,2432,1190,5580,361,0.8851504367518602,0.11484956324813976,1782,Public administration
Salem,salem,85137,10163,9626,497400,44241,33262,2403,1444,8597,903,929,1254,548,1092,927,480,990,365,494,944,691,318,131,605,843,1235,618,354,689,37,907,966,865,399,2311,626,772,343,0,152,1371,7123,7287,29831,7132,0.5135681439183385,0.4864318560816615,8749,Information
Salisbury,salisbury,102521,3016,1019,450100,9217,8086,114,176,542,304,99,160,180,79,234,137,192,161,126,270,230,164,73,169,194,333,216,198,110,0,309,353,94,24,235,137,149,93,7,0,130,1385,2244,5588,841,0.7474597273853779,0.25254027261462203,1531,Manufacturing
Sandisfield,sandisfield,88250,331,12,338400,888,808,17,2,42,10,14,25,5,15,32,7,1,22,16,36,22,20,32,12,28,21,36,8,27,12,66,12,19,3,13,7,17,9,2,3,33,109,280,499,61,0.9650145772594753,0.03498542274052478,196,Construction
Sandwich,sandwich,118799,7266,830,545000,20422,18916,239,402,341,416,594,566,432,445,624,285,144,603,419,714,346,200,108,579,580,687,570,284,271,56,1026,339,121,121,857,295,212,84,6,202,531,3506,5361,11555,865,0.8974802371541502,0.10251976284584981,3850,Construction
Saugus,saugus,100819,7908,2793,589500,28599,22187,1381,823,3508,685,570,736,514,692,630,526,181,426,580,594,555,353,198,450,481,881,577,533,566,0,1233,720,865,255,1253,601,237,349,0,89,936,4534,6194,17871,4208,0.7389963554807962,0.2610036445192038,6538,Information
Savoy,savoy,55000,339,27,267200,733,712,3,0,12,4,0,49,9,9,12,11,2,14,37,27,9,6,26,31,19,24,17,3,10,0,26,41,6,1,13,2,6,28,0,5,6,96,223,414,18,0.9262295081967213,0.07377049180327869,134,Manufacturing
Scituate,scituate,131861,6845,890,789000,19145,17731,24,461,221,455,604,521,292,725,634,362,319,139,398,493,409,236,133,381,305,716,496,224,385,152,568,271,70,113,1355,204,198,196,9,0,330,3912,4315,10918,929,0.8849385908209437,0.11506140917905623,3466,Information
Seekonk,seekonk,116310,4977,870,461600,15573,13825,421,84,778,193,421,698,400,242,425,426,109,153,409,266,177,205,68,169,366,375,234,202,83,36,383,552,237,87,568,366,429,263,0,108,374,2914,2707,9952,1243,0.8512057465366855,0.1487942534633145,3403,Information
Sharon,sharon,183724,5597,857,697900,18478,13151,605,3407,701,501,848,619,616,792,692,319,175,186,367,270,215,361,114,177,407,423,355,88,265,24,76,641,45,171,1181,116,557,106,0,34,201,4562,3228,10688,1315,0.8672141307716145,0.1327858692283855,3152,Information
Sheffield,sheffield,83889,1105,343,400700,3328,3165,2,66,116,35,48,54,14,96,99,17,92,59,61,83,60,76,5,97,82,122,73,76,25,25,256,233,20,9,191,162,18,20,21,10,144,455,819,2054,95,0.763121546961326,0.23687845303867403,1109,Construction
Shelburne,shelburne,79676,452,295,371100,1476,1256,10,24,101,11,23,16,25,53,24,16,0,43,36,101,40,8,15,41,82,86,69,23,45,4,29,104,28,0,55,0,17,0,2,0,28,168,589,719,186,0.6050870147255689,0.3949129852744311,267,Manufacturing
Sherborn,sherborn,247500,1351,161,944400,4404,3567,21,402,84,258,164,210,146,97,253,85,39,6,120,53,65,31,20,85,34,104,78,27,47,26,61,97,17,36,365,31,53,26,0,53,40,1252,670,2482,414,0.8935185185185185,0.10648148148148148,805,Information
Shirley,shirley,121875,1978,426,412700,7017,5784,461,177,643,208,201,167,100,128,170,59,0,191,158,180,93,2,162,66,118,40,98,28,216,0,79,509,123,45,312,64,11,45,0,25,138,1033,1352,4632,595,0.8227953410981698,0.1772046589018303,1351,Manufacturing
Shrewsbury,shrewsbury,136225,10462,4046,555500,38440,24642,1201,9090,1791,1003,1192,1197,938,1024,1572,933,500,346,679,745,491,348,246,476,445,795,432,410,614,31,527,1993,507,199,2462,314,802,337,67,164,886,8359,6027,24054,3507,0.721119382409705,0.27888061759029503,8289,Information
Shutesbury,shutesbury,108021,703,58,335100,1867,1661,16,10,184,29,18,28,40,29,66,21,30,51,71,37,38,9,9,38,86,80,16,6,17,11,30,42,4,9,87,25,25,3,2,11,57,261,458,1148,180,0.923784494086728,0.07621550591327202,306,Information
Somerset,somerset,111720,6208,1144,389400,18246,16888,72,439,338,286,570,469,291,570,530,291,114,137,317,481,368,215,350,306,436,576,460,300,576,64,367,609,446,32,565,153,336,130,27,15,328,3121,4522,10603,847,0.8443960826985855,0.15560391730141457,3072,Manufacturing
Somerville,somerville,127056,12155,23272,899400,80549,56011,3692,9426,9181,1502,970,1180,589,1129,911,437,1071,467,666,922,627,195,264,576,880,1204,813,491,556,21,1472,3190,1163,1282,8329,854,1605,515,52,181,1593,7789,7661,65099,11420,0.3430998955598837,0.6569001044401163,20257,Information
South Hadley,south hadley,93646,5573,1673,324800,17410,15391,239,838,1226,297,314,454,262,439,284,261,1101,157,273,630,411,184,202,255,396,437,338,379,375,0,441,493,264,49,520,120,247,130,0,26,343,3412,4037,9961,942,0.7691139939276842,0.23088600607231577,2633,Information
Southampton,southampton,125534,2207,257,426900,6212,5626,17,77,200,131,276,194,39,192,77,99,44,96,195,187,148,63,0,79,99,373,35,61,21,13,204,348,103,54,179,15,127,40,7,29,129,1052,1357,3803,492,0.895698051948052,0.10430194805194805,1248,Manufacturing
Southborough,southborough,192006,3311,400,796700,10441,7816,82,1661,386,211,271,493,188,409,370,380,64,82,116,135,61,75,34,104,222,76,184,142,130,0,300,511,81,120,680,42,215,49,30,28,254,2386,1361,6694,882,0.8922123416868768,0.10778765831312315,2310,Information
Southbridge Town,southbridge,59397,3213,4043,267000,17806,11705,808,134,7160,352,660,345,507,403,626,336,208,155,221,406,149,80,47,143,271,407,298,185,201,34,616,758,235,43,592,130,333,184,10,58,587,3437,2563,11806,5159,0.442805953693495,0.5571940463065049,3580,Manufacturing
Southwick,southwick,108833,3096,714,375700,9222,8424,43,90,431,47,224,358,209,169,319,101,61,153,206,257,188,68,52,184,193,366,143,98,111,71,402,685,206,35,202,66,67,142,23,42,379,1488,2019,5715,665,0.8125984251968504,0.18740157480314962,2320,Manufacturing
Spencer,spencer,79086,3345,1790,368300,11961,11016,94,65,529,276,157,537,119,385,265,85,14,494,145,540,258,189,123,162,244,263,399,129,153,16,512,561,240,80,252,127,110,216,0,66,294,1838,3099,7024,786,0.6514118792599806,0.3485881207400195,2474,Manufacturing
Springfield,springfield,51339,28727,29319,222700,154751,63194,30911,4343,73362,5585,5174,5612,3178,6025,4100,3264,3049,1413,2148,2122,1434,713,817,1621,1946,3263,2021,1419,1562,216,2236,4474,3680,321,2329,1333,4131,1651,135,187,2740,35987,20479,98285,56303,0.49490059607897186,0.5050994039210281,23433,Manufacturing
Sterling,sterling,136027,2882,401,467400,8111,7308,76,13,481,95,72,496,288,202,260,28,44,54,259,263,136,125,10,36,179,347,227,88,56,37,330,456,43,39,491,68,169,119,11,16,127,1485,1780,4846,714,0.8778556198598843,0.12214438014011575,1906,Information
Stockbridge,stockbridge,131667,587,175,542300,1885,1766,52,8,32,35,0,10,34,4,31,0,8,63,125,103,46,68,63,55,105,107,57,55,74,0,74,13,40,5,102,31,21,5,0,0,9,122,921,842,59,0.7703412073490814,0.22965879265091863,300,Information
Stoneham,stoneham,112635,6769,2751,629000,22986,19086,203,1626,1067,712,726,656,199,501,655,344,65,387,300,486,412,305,286,152,293,866,423,298,544,0,666,623,331,252,1332,322,432,240,0,155,398,3858,4752,14376,2071,0.7110294117647059,0.2889705882352941,4751,Information
Stoughton,stoughton,104164,8392,2469,496700,29074,17546,5343,1691,1310,637,647,764,663,875,802,522,264,436,389,877,339,125,240,377,551,1012,426,293,582,63,1154,1004,556,144,897,280,675,361,0,171,964,5174,5647,18253,4494,0.7726728662185802,0.22732713378141975,6269,Construction
Stow,stow,177862,2336,395,657900,7109,5933,225,384,184,157,201,303,250,233,217,139,73,135,97,125,109,55,53,138,72,253,121,25,134,7,167,289,90,78,469,40,102,30,21,15,71,1573,1317,4219,567,0.8553643354082754,0.14463566459172464,1379,Information
Sturbridge,sturbridge,129606,3468,563,397000,9889,8972,152,245,314,142,255,445,284,355,314,134,45,88,177,340,115,83,85,153,118,366,240,74,65,0,261,439,151,0,317,55,259,25,6,0,225,1974,1904,6011,520,0.8603324237161994,0.13966757628380055,1738,Manufacturing
Sudbury,sudbury,234634,5707,620,939400,19067,15301,509,1972,693,735,725,738,434,549,738,917,96,210,192,305,304,124,111,200,203,449,307,208,364,0,168,510,52,168,1877,218,304,147,0,50,327,4932,2977,11158,1285,0.9020072704283231,0.09799272957167694,3821,Information
Sunderland,sunderland,61442,720,1068,391200,3653,2727,113,583,210,49,0,77,27,32,60,54,77,70,45,78,16,18,36,43,54,93,65,36,51,45,64,37,59,40,172,77,24,0,0,0,25,376,605,2672,230,0.40268456375838924,0.5973154362416108,543,Information
Sutton,sutton,156215,2819,428,523000,9383,8448,77,112,402,186,188,198,249,268,277,276,55,57,244,279,159,100,7,145,185,200,85,78,44,17,459,393,128,51,507,188,150,97,0,49,308,1697,1583,6103,746,0.8681860178626425,0.13181398213735757,2347,Information
Swampscott,swampscott,128964,4664,1633,690800,15209,13337,416,479,1106,406,369,480,243,396,378,131,68,133,244,396,214,140,157,163,361,325,316,147,340,20,317,284,323,55,725,174,252,53,0,69,244,2471,2936,9802,977,0.7406701603938384,0.2593298396061617,2516,Information
Swansea,swansea,116627,5839,902,414900,17231,15478,234,161,1192,459,390,456,425,639,405,148,58,81,268,433,336,113,141,345,475,566,567,193,255,0,927,790,199,183,435,136,193,194,0,69,621,2980,3773,10478,1358,0.8661919596499036,0.1338080403500964,3747,Construction
Taunton,taunton,79715,15017,8854,388200,59719,44511,4225,880,5435,1825,1362,2077,1253,1667,2052,1155,292,592,672,1108,577,481,421,770,848,942,1033,644,701,26,2470,1995,1197,213,1704,699,600,737,41,240,2337,11683,8789,39247,10103,0.6290896904193373,0.37091030958066273,12259,Construction
Templeton,templeton,103277,2689,436,324800,8187,7589,33,78,446,507,121,357,47,208,257,274,59,63,122,172,62,54,0,71,96,293,78,111,49,0,303,494,165,49,298,218,107,17,27,32,194,1830,1171,5186,487,0.86048,0.13952,1904,Manufacturing
