cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
dartmouth,52,998841.5,1540371.2884615385,382.5483870967742,6282.5,98662.0,470500.0,4.0,3.0,8.236097908865577,3.4,18.5,10.123872412884394,1.3086881549277094,Dartmouth
dedham,22,822000.0,1110772.1363636365,427.33627626912454,5136.0,124375.0,630400.0,3.0,2.5,8.24776975723896,3.2,35.0,6.609045226130653,2.018026349948079,Dedham
deerfield,12,657450.0,662258.3333333334,274.62453540261225,4294.5,103110.0,385000.0,4.0,3.0,8.62160737327189,2.6,19.25,6.3762001745708465,2.0008149959250203,Deerfield
dennis,51,699000.0,1115150.9803921569,561.8971061093248,4141.0,88183.0,564500.0,3.0,2.0,7.818564206268959,3.4,28.0,7.926697889615912,1.7745914835385976,Dennis
devens,1,999900.0,999900.0,410.97410604192356,6231.0,,,4.0,2.0,8.225742574257428,3.0,30.5,,,Devens
dighton,6,639950.0,625300.0,285.3857674167208,3993.0,137616.0,486900.0,3.5,2.5,8.237075291622482,3.4,14.5,4.650258690849901,2.8720260455797644,Dighton
douglas,8,649999.5,667437.375,396.8489633995348,4176.5,147185.0,439800.0,3.0,1.5,8.469009896705181,3.0,7.75,4.416207493970173,2.9367692246298733,Douglas
dover,24,3041500.0,3204583.3333333335,495.0084440766705,18972.0,250001.0,1285800.0,5.0,6.0,8.233758972286925,3.4,11.25,12.165951336194656,1.0981138871319138,Dover
dracut,10,584700.0,648872.3,331.2169581633764,3644.0,111539.0,465900.0,3.0,2.0,8.225526252044052,3.0,23.75,5.242112624283883,2.5507455177460665,Dracut
drury,1,59000.0,59000.0,26.292335115864528,406.0,,,4.0,2.0,9.083389830508477,2.0,1.0,,,Drury
dudley,10,432450.0,471140.0,229.96553477903302,2773.5,85179.0,372400.0,3.5,2.0,8.467883539638763,3.0,8.75,5.076955587644842,2.5593113394627727,Dudley
dunstable,3,825000.0,873300.0,208.24159476346327,5141.0,202379.0,624300.0,4.0,4.0,8.22477496785255,3.2,7.0,4.076509914566235,3.2804739674512096,Dunstable
duxbury,33,1450000.0,2331324.242424242,508.130081300813,9103.0,171471.0,826300.0,4.0,3.0,8.321903398926656,3.4,18.0,8.45624041383091,1.5697297594199715,Duxbury
east bridgewater,14,639000.0,650700.0,275.671875,4146.0,128679.0,474000.0,3.0,2.0,8.33620596029569,3.2,23.5,4.965845242813513,2.5864085865894837,East Bridgewater
east brookfield,1,460000.0,460000.0,243.51508734780307,2951.0,76382.0,342400.0,4.0,2.0,8.468086956521741,3.0,5.5,6.022361289309,2.156952445498701,East Brookfield
